Plot,Sub_Plot,Tree_Tag,X_Coordinate,Y_Coordinate,Local_Name,Genus,Species,DBH_inch,DBH_cm,POM_m,Height_m,North,East,Elevation_m
1,1,8999,0.8,2,Lunbo,Buchananaia,cochinchinensis,6,15.2,1.3,6,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,1,9000,1,1.7,Tei,Diospyros,burmanica,4,10.2,1.3,6,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,1,8998,3.2,2.5,Tei,Diospyros,burmanica,4.8,12.2,1.3,7,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,2,8997,3,3.9,Ingyin,Shorea,siamensis,14.3,36.3,1.3,12,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,4,8996,4.8,2.1,Yindike,Dalvergia,cultiata,6.9,17.5,1.3,6.7,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,5,8995,2.4,1.8,Tei,Diospyros,burmanica,4,10.2,1.3,8,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,6,8994,1.5,2.2,Tei,Diospyros,burmanica,4,10.2,1.3,5.1,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,6,8993,3,4,Tei,Diospyros,burmanica,4.9,12.4,1.3,6,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,7,8992,1.6,0.5,Ingyin,Shorea,siamensis,4.2,10.7,1.3,5.7,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,8,8989,4.4,0.8,Ingyin,Shorea,siamensis,8.3,21.1,1.3,10,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,8,8991,1.3,0.2,Yindike,Dalvergia,cultiata,4.1,10.4,1.3,8,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,8,8990,2.5,4.8,Yindike,Dalvergia,cultiata,15.2,38.6,1.3,11,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,9,8988,1,1,Lunbo,Buchananaia,cochinchinensis,6.4,16.3,1.3,7,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,9,8987,4.2,4.5,Tei,Diospyros,burmanica,7.9,20.1,1.3,9.6,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,10,8986,0.4,4.3,Tei,Diospyros,burmanica,5.6,14.2,1.3,6,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,10,8985,3.8,4,Yindike,Dalvergia,cultiata,6.1,15.5,1.3,13,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,10,8984,3.8,4,Yindike,Dalvergia,cultiata,4.1,10.4,1.3,5.9,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,10,8983,3.8,4.8,Yindike,Dalvergia,cultiata,5.9,15,1.3,4.2,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,11,8981,8,4.3,Htaukyant,Terminalia,crenulata,5.3,13.5,1.3,9,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,11,8982,1.3,1.3,Ingyin,Shorea,siamensis,6.4,16.3,1.3,11.3,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,11,8980,2.7,4.2,Ingyin,Shorea,siamensis,4.6,11.7,1.3,5.4,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,11,8979,2.8,4.3,Ingyin,Shorea,siamensis,9.3,23.6,1.3,12,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,13,8978,4.99,2.7,Tei,Diospyros,burmanica,4.6,11.7,1.3,7,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,13,8977,4.2,1.8,Than ,Terminalia,oliveri,6.1,15.5,1.3,6,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,14,8976,0.2,2,Yindike,Dalvergia,cultiata,5.2,13.2,1.3,9,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,15,8975,1,1.7,Ingyin,Shorea,siamensis,8.5,21.6,1.3,10,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,15,8974,4.7,4.7,Tei,Diospyros,burmanica,4.7,11.9,1.3,7,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 53' 0.33"" N","95° 13' 0.56"" E",363.52
2,1,8973,0.6,2.5,Ingyin,Shorea,siamensis,5.6,14.2,1.3,7.8,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,1,8972,0.7,2.5,Ingyin,Shorea,siamensis,4.4,11.2,1.3,7.5,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,3,8971,2.3,2.3,Naywel,Flacourtia,indica,4.2,10.7,1.3,5.1,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,4,8969,4,4.9,Ingyin,Shorea,siamensis,5.1,13,1.3,5,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,4,8970,0.1,3.3,Pyinkado,Xylia,xylocarpa,5.2,13.2,1.3,6,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,4,8968,3.1,2,Pyinkado,Xylia,xylocarpa,5.4,13.7,1.3,6,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,5,8966,2.4,1,Lunbo,Buchananaia,cochinchinensis,5.9,15,1.3,5.1,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,5,8967,0.8,0.1,Thitya,Shorera,obtusa,4.9,12.4,1.3,4.4,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,6,8965,2.6,4.9,Ingyin,Shorea,siamensis,4.2,10.7,1.3,4.6,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,6,8964,2.6,4.9,Ingyin,Shorea,siamensis,4.9,12.4,1.3,4.7,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,7,8963,4.6,2.6,Thitya,Shorera,obtusa,4.5,11.4,1.3,4.3,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,8,8962,4.5,2,Ingyin,Shorea,siamensis,4.5,11.4,1.3,5.3,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,8,8961,4.7,2.1,Ingyin,Shorea,siamensis,6.4,16.3,1.3,9.1,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,9,8960,2.7,2.3,Lunbo,Buchananaia,cochinchinensis,6,15.2,1.3,5.4,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,10,8958,1.8,3.1,Ingyin,Shorea,siamensis,4.8,12.2,1.3,5.7,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,10,8959,1.6,0.8,Lunbo,Buchananaia,cochinchinensis,4.5,11.4,1.3,6.1,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,13,8957,4,3,Pyinkado,Xylia,xylocarpa,6.7,17,1.3,8.7,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,14,8956,0.5,1.3,Naywel,Flacourtia,indica,4.5,11.4,1.3,4.5,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,15,8954,2.9,2.3,Ingyin,Shorea,siamensis,4.4,11.2,1.3,5.4,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,15,8955,2.2,1.2,Tei,Diospyros,burmanica,4.2,10.7,1.3,5,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
2,16,8953,4.5,2,Tei,Diospyros,burmanica,4.5,11.4,1.3,5,"20° 53' 5.96"" N","95° 13' 8.37"" E",398.01
3,1,8952,0.3,2.4,Htaukyant,Terminalia,crenulata,6.5,16.5,1.3,6.5,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,2,8951,2.6,1.2,Tei,Diospyros,burmanica,4.6,11.7,1.3,5.5,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,3,8950,1.6,2.4,Ingyin,Shorea,siamensis,5.9,15,1.3,8.6,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,3,8949,3.1,1.9,Ingyin,Shorea,siamensis,5.1,13,1.3,7.1,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,4,8948,1,0.3,Ingyin,Shorea,siamensis,6.9,17.5,1.3,3.4,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,4,8947,0.6,3,Pyinkado,Xylia,xylocarpa,5.6,14.2,1.3,5,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,4,8946,4.2,2.7,Tamalan,Dalvergia,oliveri,5.35,13.6,1.3,9,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,5,8945,0.8,2.7,Ingyin,Shorea,siamensis,6.9,17.5,1.3,10.6,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,5,8943,2.4,2.5,Ingyin,Shorea,siamensis,5.5,14,2,7.1,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,5,8944,1.7,4.1,Lunbo,Buchananaia,cochinchinensis,4.8,12.2,1.3,5.5,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,5,8942,2.2,0.2,Thitya,Shorera,obtusa,5.65,14.4,1.3,5.3,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,6,8939,3.3,2.2,Ingyin,Shorea,siamensis,5.23,13.3,1.3,5.1,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,6,8938,4.7,4,Ingyin,Shorea,siamensis,5,12.7,1.3,7,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,6,8940,1,2.1,Seikchayphalan,Bridelia,ovata,4.2,10.7,1.3,7,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,6,8941,2,1.5,Tei,Diospyros,burmanica,4.94,12.5,1.3,8.1,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,7,8937,2.5,1,Tei,Diospyros,burmanica,5.9,15,1.3,7.1,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,8,8935,2,2.3,Htaukyant,Terminalia,crenulata,4.23,10.7,1.3,7.2,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
3,8,8936,0.7,2.2,Ingyin,Shorea,siamensis,15.2,38.6,1.3,9.2,"20° 53' 10.37"" N","95° 13' 17.36"" E",424.51
